Date,OPEN_INT,PX_VOLUME
42493,263942,245455
42492,264170,148514
42489,275491,208110
42488,98744,242315
42487,129450,134920
42486,157120,235865
42485,186742,149169
42482,209144,130631
42481,212953,163044
42480,218366,180999
42478,211472,156255
42473,216206,194633
42472,198260,152533
42471,205020,209196
42468,209220,120237
42467,209796,184929
42466,228604,136350
42465,237947,262468
42464,250300,111189
42461,246836,182603
42460,160858,252912
42459,192853,191813
42458,214036,231504
42457,249966,201820
42452,289791,163852
42451,281267,182128
42450,286779,197326
42447,296803,211934
42446,286516,201036
42445,289564,189428
42444,287932,151477
42443,290071,144035
42440,293399,206282
42439,290449,182516
42438,301145,177661
42437,306649,151479
42433,296317,157476
42432,284324,171087
42431,265967,222864
42430,247729,236798
42429,240690,413570
42426,246678,170796
42425,122298,244599
42424,151332,249884
42423,191070,270895
42422,248121,141147
42419,274003,173846
42418,288359,229991
42417,281368,257745
42416,282490,227590
42415,272326,204947
42412,277681,301936
42411,263390,296451
42410,248845,242379
42409,247455,185925
42408,257335,186483
42405,246522,176039
42404,252128,173559
42403,259513,161319
42402,257792,202973
42401,267541,124799
42398,258341,206769
42397,109559,180534
42396,162875,209277
42394,202732,192361
42391,246500,207582
42390,260684,253543
42389,277381,227701
42388,277588,181759
42387,283365,203075
42384,301748,191584
42383,298208,254703
42382,296093,298262
42381,290579,155098
42380,292857,197958
42377,288188,147344
42376,287703,222028
42375,277561,162041
42374,276236,141286
42373,269896,217442
42370,259169,78099
42369,87335,152773
42368,135408,118301
42367,169206,148627
42366,201308,135213
42362,218678,81579
42361,228213,132290
42360,245739,134508
42359,247188,105888
42356,248373,145614
42355,254056,183952
42354,260069,135688
42353,270222,121040
42352,264432,158439
42349,259264,154756
42348,251544,128395
42347,260777,160403
42346,256867,111164
42345,258066,95802
42342,260740,119210
42341,258306,125397
42340,257896,100414
42339,260078,106700
42338,256027,108287
42335,249694,139963
42334,120405,162768
42332,157344,170578
42331,183628,168717
42328,210495,186227
42327,222393,171785
42326,235319,172971
42325,226619,138223
42324,228699,157193
42321,234018,113362
42319,235111,23566
42318,236501,158968
42317,239101,226372
42314,248964,148999
42313,254306,142523
42312,249552,116942
42311,253603,109417
42310,252808,117483
42307,250389,160902
42306,298663,484472
42305,427831,546704
42304,605259,382756
42303,675338,372014
42300,741081,355703
42298,761769,423915
42297,783586,320513
42296,797371,301753
42293,812975,450433
42292,804837,387478
42291,791283,339583
42290,843479,436206
42289,873813,402009
42286,850035,508415
42285,848205,380150
42284,848360,440596
42283,812795,443158
42282,813505,476060
42278,763715,469650
42277,746143,533627
42276,752996,925370
42275,743962,411586
42271,485403,669444
42270,613972,713391
42269,710668,870824
42268,764678,576788
42265,874082,721290
42263,862188,448314
42262,889724,426436
42261,892991,410700
42258,906904,539788
42257,909112,652173
42256,890161,686641
42255,949801,696134
42254,942913,548939
42251,927810,781099
42250,907551,491572
42249,911247,696245
42248,884917,681432
42247,884489,538965
42244,879455,679971
42243,426585,730656
42242,459803,752073
42241,537376,979004
42240,647765,1343511
42237,589505,677855
42236,586323,571472
42235,576595,380585
42234,570157,374699
42233,579829,449746
42230,602242,534397
42229,627666,462054
42228,640832,518433
42227,661748,417001
42226,663188,371638
42223,673110,224960
42222,675255,301655
42221,666100,300424
42220,642291,574620
42219,674152,210651
42216,690348,423825
42215,354474,499788
42214,459555,452407
42213,594640,531664
42212,718398,541249
42209,798648,319704
42208,827098,425989
42207,857193,498766
42206,828227,390965
42205,856517,297120
42202,847587,268425
42201,851281,382269
42200,819471,380300
42199,794637,373452
42198,786177,524461
42195,732341,414064
42194,714769,398298
42193,727595,821591
42192,743918,420806
42191,709904,588517
42188,694395,364786
42187,679015,369378
42186,681027,452062
42185,653182,438151
42184,608025,685923
42181,552974,447942
42180,350391,514591
42179,452697,466085
42178,472339,415875
42177,517298,563682
42174,600559,457277
42173,634939,547889
42172,625778,538588
42171,621983,448623
42170,635831,502224
42167,666309,407275
42166,663631,697716
42165,616341,517670
42164,655158,385780
42163,649862,376842
42160,653390,540264
42159,650250,472806
42158,640988,529274
42157,644430,829989
42156,643915,309987
42153,634041,680534
42152,249641,536117
42151,344054,460282
42150,430030,354089
42149,476606,376395
42146,514618,371614
42145,525778,360992
42144,543339,413471
42143,544123,552744
42142,544965,411646
42139,560401,355479
42138,563262,560464
42137,554667,893726
42136,563776,670975
42135,546390,428296
42132,558541,554911
42131,609019,663738
42130,658130,877887
42129,671682,444945
42128,733558,498328
42124,367028,814081
42123,440965,642959
42122,566126,648965
42121,706063,535439
42118,782068,527704
42117,815045,686584
42116,852449,719929
42115,858613,593060
42114,817377,596267
42111,819367,376887
42110,774065,547972
42109,776169,377252
42107,750937,345725
42104,764689,252034
42103,762992,470024
42102,766852,364414
42101,742216,541274
42100,744135,358739
42095,758941,416855
42094,780670,397674
42093,804926,406470
42090,851484,496803
42089,272413,653564
42088,440956,506265
42087,675707,727889
42086,879377,324587
42083,915894,440455
42082,924032,682035
42081,935510,409687
42080,965265,606545
42079,999442,309010
42076,987191,679192
42075,999912,316132
42074,996388,420876
42073,992457,481922
42072,1000725,596010
42068,1043370,510114
42067,1075754,618998
42066,1112583,434027
42065,1063368,519268
42063,1028427,1102700
42062,967713,550410
42061,235243,631399
42060,374274,605509
42059,507938,611830
42058,660935,660896
42055,917448,546704
42054,994817,518259
42053,1021888,351950
42051,1041931,371508
42048,1032246,440336
42047,1012232,489248
42046,992332,371359
42045,997684,679999
42044,992169,470718
42041,998526,394508
42040,993347,570515
42039,1011215,394733
42038,1015824,481794
42037,998752,421070
42034,1020199,589828
42033,311213,684920
42032,428595,809904
42031,643196,589783
42027,910134,407709
42026,906191,356371
42025,887995,399907
42024,869384,505107
42023,802975,301616
42020,803000,400180
42019,825838,832330
42018,703103,502517
42017,719350,410143
42016,702157,391895
42013,684454,596384
42012,711940,409705
42011,748641,513814
42010,766311,807830
42009,827940,362889
42006,857117,384440
42005,845622,152053
42004,846769,208456
42003,852694,213744
42002,843891,256065
41999,828600,329455
41997,437964,644400
41996,534375,689426
41995,718014,454364
41992,791837,502221
41991,881646,487109
41990,958482,671947
41989,957986,697823
41988,941832,341209
41985,925843,415055
41984,885737,433216
41983,879267,335101
41982,885236,450194
41981,852298,403704
41978,805633,204790
41977,795903,320202
41976,820702,275706
41975,855836,405496
41974,877874,321349
41971,888657,390067
41970,277012,420891
41969,376663,448199
41968,521860,628405
41967,756247,295185
41964,838802,394702
41963,856751,317363
41962,879675,336894
41961,904637,232236
41960,912416,343192
41957,913909,275556
41956,924004,385583
41955,950934,334887
41954,927723,282205
41953,924917,299921
41950,922907,297377
41948,907773,347274
41946,856703,281835
41943,831424,532335
41942,223940,260227
41941,242490,203532
41940,272915,218879
41939,319299,169824
41935,339189,31565
41934,342134,178728
41933,335818,266648
41932,324664,248548
41929,312938,297423
41928,288824,285534
41926,294376,248830
41925,296530,212390
41922,308681,268421
41921,328370,209348
41920,326433,197811
41919,325423,182078
41913,312789,128235
41912,314033,295133
41911,310077,167342
41908,328194,357809
41907,126275,280863
41906,161554,274269
41905,202337,309560
41904,221803,254671
41901,254952,209228
41900,271784,318157
41899,252720,184866
41898,258376,242034
41897,268956,209387
41894,273831,148422
41893,278529,208162
41892,289729,186360
41891,303536,115221
41890,316735,150270
41887,306641,200366
41886,318197,164603
41885,337837,205103
41884,333755,198384
41883,326819,144351
41879,119637,241078
41878,177080,222784
41877,210222,215564
41876,256655,209930
41873,287326,143939
41872,293675,191635
41871,301390,137473
41870,304567,170617
41869,300690,184306
41865,287868,197553
41864,282683,263570
41863,257166,247522
41862,250302,142670
41859,244060,260196
41858,261846,302990
41857,274603,256771
41856,262477,347497
41855,254994,211809
41852,249477,346552
41850,193360,317216
41848,238618,254863
41845,296999,248462
41844,329020,206079
41843,336430,246293
41842,327973,254949
41841,300190,157265
41838,300460,266064
41837,296302,186904
41836,290958,279307
41835,287676,247820
41834,283202,200572
41831,274320,410572
41830,272584,675066
41829,272320,321601
41828,274319,352581
41827,287183,155246
41824,285515,245115
41823,287060,158786
41822,290373,200882
41821,272075,162808
41820,279495,208073
41817,281058,174211
41816,118151,306170
41815,185396,209272
41814,227351,358708
41813,271094,269228
41810,279299,201127
41809,284237,285699
41808,282523,388403
41807,296181,273622
41806,299182,254033
41803,302672,336410
41802,333845,187018
41801,321699,306476
41800,321847,263983
41799,303432,262177
41796,278627,246214
41795,280802,281421
41794,302272,140820
41793,317050,265284
41792,330134,228652
41789,333920,212971
41788,216470,347346
41787,291967,207968
41786,332713,287791
41785,382938,493416
41782,420520,322947
41781,422990,222344
41780,442584,241879
41779,432510,255710
41778,438188,354691
41775,431135,975986
41774,358712,272999
41773,340437,212928
41772,320175,426707
41771,299484,324032
41768,290825,400497
41767,272699,171217
41766,276995,193994
41765,258133,130969
41764,263048,186733
41761,257252,155372
41759,259214,332562
41758,258153,231510
41757,275467,141066
41754,268186,225074
41752,209594,251221
41751,247300,183848
41750,284467,165701
41746,305611,247181
41745,314506,213252
41744,307103,198293
41740,322401,177077
41739,330129,188556
41738,348701,203291
41736,334262,207195
41733,326997,164745
41732,342995,175467
41731,345563,150687
41730,340627,202023
41729,340393,177279
41726,338338,156185
41725,258494,332523
41724,308452,238303
41723,374353,188798
41722,410816,249732
41720,400877,14371
41719,402973,176867
41718,385782,197896
41717,399073,157826
41716,393202,221287
41712,387488,256261
41711,388230,215012
41710,372422,194553
41709,371200,205034
41708,363460,223416
41705,362251,369897
41704,316168,228245
41703,307452,170905
41702,290757,241140
41701,269062,180610
41698,274109,194902
41696,157116,201746
41695,195556,202792
41694,247573,165880
41691,279455,174281
41690,297481,173973
41689,313833,123480
41688,313664,210962
41687,325075,167030
41684,324104,227135
41683,333130,229304
41682,310527,169287
41681,318285,133083
41680,308681,127561
41677,307848,211347
41676,320941,246439
41675,327766,222075
41674,325027,254932
41673,321109,176743
41670,324563,193976
41669,131785,291826
41668,173843,192087
41667,216031,361532
41666,253037,307063
41663,317407,246957
41662,343436,133460
41661,350236,171166
41660,353121,147116
41659,341738,217355
41656,359682,236858
41655,380512,175261
41654,364083,257092
41653,354882,154520
41652,351473,243680
41649,340912,328325
41648,341459,174561
41647,345337,164262
41646,354303,255943
41645,355278,171361
41642,352169,242124
41641,386218,325504
41640,396125,47960
41639,394766,99656
41638,384867,143025
41635,394786,119090
41634,185739,266688
41632,231560,192767
41631,267479,263375
41628,367423,303332
41627,379424,340639
41626,440806,260444
41625,437281,163689
41624,449218,171048
41621,440093,205895
41620,444890,213327
41619,440768,198742
41618,439534,197255
41617,431465,300377
41614,390374,175578
41613,380795,275012
41612,362622,224572
41611,375566,153131
41610,369507,177004
41607,363542,220802
41606,139688,273896
41605,171271,221007
41604,202974,255606
41603,245949,306214
41600,276773,319746
41599,305251,367523
41598,332972,298696
41597,355971,165911
41596,351863,273886
41592,359762,268783
41591,378449,290780
41590,391058,288845
41589,391709,271050
41586,406679,252719
41585,416764,353350
41584,431761,226281
41583,449514,231450
41581,464168,32269
41579,461872,180987
41578,179426,332685
41577,219015,267785
41576,256470,461786
41575,282564,245485
41572,322420,266121
41571,344707,378873
41570,351663,354109
41569,365726,189546
41568,370071,210083
41565,376296,342424
41564,384642,257242
41562,383218,308382
41561,365217,180198
41558,356610,259142
41557,337174,252424
41556,325186,305688
41555,309542,252322
41554,320759,305511
41551,348832,293729
41550,346861,294149
41548,326675,251837
41547,337847,278846
41544,358733,237959
41543,204700,326298
41542,239117,360750
41541,273407,371048
41540,294238,345440
41537,298485,501804
41536,324084,397668
41535,313232,213101
41534,319343,230017
41533,336239,367365
41530,346349,298901
41529,378652,301296
41528,382115,359431
41527,402579,523239
41523,361765,360795
41522,355590,395307
41521,369785,522233
41520,373216,521911
41519,360626,310690
41516,346288,477390
41515,299104,477820
41514,354779,601804
41513,398492,492064
41512,427399,364343
41509,465646,376713
41508,470919,466289
41507,484621,533957
41506,415725,451033
41505,383674,487243
41502,352336,519664
41500,298090,254895
41499,275705,258307
41498,292677,264615
41494,316699,208348
41493,311368,361763
41492,333988,329682
41491,304887,191462
41488,308990,231910
41487,328357,361275
41486,334049,267327
41485,347082,269845
41484,362820,147484
41481,360341,222596
41480,118872,324782
41479,187576,299083
41478,237365,237945
41477,282206,180610
41474,305787,202339
41473,323817,232489
41472,329254,246245
41471,331458,248473
41470,359713,198191
41467,353241,247177
41466,336345,287536
41465,309344,201801
41464,307775,178953
41463,297008,256214
41460,312930,186692
41459,299309,276782
41458,295056,254057
41457,301820,181891
41456,305059,216270
41453,286649,313008
41452,285757,398022
41451,330506,305340
41450,382706,386361
41449,414929,305767
41446,425126,303312
41445,430680,348690
41444,370683,209877
41443,355986,239542
41442,340834,259829
41439,312829,242129
41438,315975,265961
41437,290683,278852
41436,271381,351656
41435,243413,213624
41432,246553,333052
41431,249005,247728
41430,263064,222758
41429,268169,194447
41428,276000,226166
41425,303248,278003
41424,280789,278347
41423,319278,228017
41422,367458,306976
41421,441512,238321
41418,484055,242808
41417,498687,366641
41416,531690,203575
41415,519118,234935
41414,515238,184145
41411,512873,158699
41410,512134,192159
41409,501846,319368
41408,450874,224977
41407,426166,248161
41405,450130,14654
41404,450068,194590
41403,431889,154357
41402,424133,194621
41401,416160,190117
41400,382557,153161
41397,369822,260669
41396,374388,240422
41394,330562,227911
41393,323246,122480
41390,316311,165271
41389,157308,336057
41387,228622,277055
41386,285125,252804
41382,351794,250370
41381,380178,258518
41380,396420,357191
41379,429051,234674
41376,404765,219489
41375,396640,254514
41374,380605,285975
41373,364811,285405
41372,343883,131874
41369,332993,239853
41368,312880,277557
41367,289762,208114
41366,264109,165475
41365,242323,153352
41361,212752,286672
41359,243212,217256
41358,263887,248097
41355,269664,229947
41354,289305,342658
41353,301370,263583
41352,320087,400433
41351,305317,171675
41348,299579,259139
41347,300964,370999
41346,309202,183194
41345,321500,212271
41344,332997,169271
41341,330821,254505
41340,339896,197837
41339,335089,161492
41338,328501,201291
41337,330685,178755
41334,306267,233373
41333,248800,417441
41332,288836,237316
41331,301618,321099
41330,316624,246274
41327,331204,165492
41326,323477,253467
41325,321181,132575
41324,316904,155734
41323,308344,105045
41320,296018,207820
41319,281205,179668
41318,268223,167796
41317,266812,130917
41316,262285,121048
41313,260027,173783
41312,256672,185120
41311,258185,111965
41310,260970,152068
41309,263691,159791
41306,251759,138160
41305,144691,207702
41304,177019,152160
41303,190178,264132
41302,217500,129782
41299,231329,188865
41298,245850,205713
41297,264475,168125
41296,276475,145763
41295,294322,132581
41292,291206,135223
41291,290885,212045
41290,290624,184858
41289,310048,183344
41288,318777,206945
41285,314164,189860
41284,322293,168466
41283,310121,170374
41282,313909,167264
41281,321234,106613
41278,335721,122122
41277,342790,105216
41276,342854,148050
41275,340181,118559
41274,327463,76323
41271,326642,124568
41270,211560,218705
41269,243982,183816
41267,260316,143175
41264,311720,280510
41263,392834,221339
41262,428149,128072
41261,433443,281039
41260,426737,108781
41257,427437,197947
41256,430171,212407
41255,422555,215399
41254,406763,277302
41253,402806,116461
41250,411776,209697
41249,413286,277894
41248,408771,146433
41247,394981,130560
41246,394244,142584
41243,388094,236791
41242,144352,290786
41240,187574,255165
41239,230061,140088
41236,255217,171195
41235,268138,166601
41234,278215,186631
41233,281436,173286
41232,294812,167424
41229,300762,217367
41228,339131,191694
41226,366853,57800
41225,369072,136701
41222,378096,211739
41221,377489,186408
41220,392457,237543
41219,381042,140470
41218,373304,116796
41215,370951,190759
41214,343725,167392
41213,350139,144508
41212,358260,291436
41211,356437,149493
41208,359690,200458
41207,221947,254619
41205,278686,283719
41204,394548,261987
41201,444026,240219
41200,485073,268619
41199,474971,168830
41198,480750,222499
41197,492154,172294
41194,497421,234751
41193,507394,250721
41192,512110,228980
41191,525917,217033
41190,526522,196556
41187,528055,369790
41186,512905,222131
41185,502665,183863
41183,485664,123584
41180,473448,233250
41179,261374,339687
41178,312587,259446
41177,384165,290857
41176,430900,221680
41173,442936,412272
41172,437574,193040
41170,432768,159658
41169,424088,317458
41166,403089,327490
41165,373915,128022
41164,368635,218335
41163,357617,195556
41162,340366,148845
41160,374697,22410
41159,370646,245699
41158,356129,190230
41157,375020,198916
41156,378528,169773
41155,394890,192922
41152,391936,266910
41151,239629,409046
41150,323308,253369
41149,405323,266544
41148,469746,189151
41145,506074,211790
41144,517081,220545
41143,522605,168627
41142,527745,200663
41138,512182,241363
41137,516790,158623
41135,519183,221637
41134,505867,160738
41131,486754,183153
41130,479278,239616
41129,473855,262152
41128,464386,248883
41127,449990,194983
41124,448005,281526
41123,451574,159026
41122,446856,188456
41121,443862,327140
41120,440887,264935
41117,422158,341276
41116,186040,338418
41115,246752,309367
41114,339037,317147
41113,440174,255099
41110,466101,196377
41109,474691,183168
41108,476796,215533
41107,486365,200145
41106,478932,216433
41103,474954,208579
41102,465352,309249
41101,465092,192337
41100,470938,269494
41099,456210,220065
41096,468142,215230
41095,475317,186145
41094,465813,208608
41093,452882,235912
41092,440341,202531
41089,432764,359643
41088,178241,281540
41087,259396,235737
41086,304623,303145
41085,344647,395102
41082,337589,363526
41081,347028,310348
41080,330885,232419
41079,327709,373572
41078,330087,453317
41075,326775,295436
41074,311790,311739
41073,323770,284929
41072,314744,363732
41071,301836,301403
41068,313209,336738
41067,319327,271308
41066,308732,338542
41065,316517,246383
41064,317813,271302
